ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
6,"$35,000-$39,999",2016,"2016",1604,294,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.03428376009917497
9,"$50,000-$59,999",2016,"2016",9199672,22260,"United States","01000US","united-states",0.0781512579271456
13,"$125,000-$149,999",2016,"2016",1935,305,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.04135852605480272
2,"$15,000-$19,999",2016,"2016",5958713,16103.999999999998,"United States","01000US","united-states",0.050619295620195535
5,"$30,000-$34,999",2016,"2016",2473,405,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.05285769247210704
10,"$60,000-$74,999",2016,"2016",11714107,31280.999999999996,"United States","01000US","united-states",0.09951139535661507
10,"$60,000-$74,999",2016,"2016",3845,529,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.08218270422776044
5,"$30,000-$34,999",2016,"2016",5856803,14451,"United States","01000US","united-states",0.049753569679601636
4,"$25,000-$29,999",2016,"2016",2326,408,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.04971572692685846
11,"$75,000-$99,999",2016,"2016",14361853,53518,"United States","01000US","united-states",0.12200401037284261
14,"$150,000-$199,999",2016,"2016",2628,424,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.05617064933954602
1,"$10,000-$14,999",2016,"2016",6000362,20040,"United States","01000US","united-states",0.050973104075693484
3,"$20,000-$24,999",2016,"2016",2002,341,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.04279057837814731
12,"$100,000-$124,999",2016,"2016",9856915,44470,"United States","01000US","united-states",0.08373454037610802
9,"$50,000-$59,999",2016,"2016",2878,437.00000000000006,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.06151412815799598
6,"$35,000-$39,999",2016,"2016",5404041,15856,"United States","01000US","united-states",0.04590735431000908
2,"$15,000-$19,999",2016,"2016",2408,439.99999999999994,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.05146838797931005
13,"$125,000-$149,999",2016,"2016",6028908,33311,"United States","01000US","united-states",0.051215602483113694
12,"$100,000-$124,999",2016,"2016",2636,376,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.056341640661736414
3,"$20,000-$24,999",2016,"2016",6094929,15803,"United States","01000US","united-states",0.051776451195938246
1,"$10,000-$14,999",2016,"2016",3251,432,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.06948659855512333
14,"$150,000-$199,999",2016,"2016",6369156,36256,"United States","01000US","united-states",0.05410601088106477
8,"$45,000-$49,999",2016,"2016",1272,252.00000000000003,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.027187620228273417
7,"$40,000-$44,999",2016,"2016",5408687,15420.000000000002,"United States","01000US","united-states",0.045946822102374885
0,"< $10,000",2016,"2016",7532,820,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",0.1609883298422605
